Ligand	1_Energy	Mass
ZINC12557770	-10,4	362,283
ZINC29155544	-10,4	407,259
ZINC92166165	-10,4	321,237
ZINC38932826	-10,4	447,77
ZINC46124143	-10,4	461,418
ZINC91954039	-10,4	336,265
ZINC24004241	-10,4	367,276
ZINC09749516	-10,4	440,375
ZINC09424535	-10,4	471,37
ZINC43987368	-10,4	400,356
ZINC38932829	-10,4	424,328
ZINC05713761	-10,4	359,254
ZINC35537941	-10,4	279,214
ZINC10720988	-10,4	336,287
ZINC04181528	-10,4	305,633
ZINC08592640	-10,4	443,778
ZINC65721138	-10,4	358,275
ZINC16031454	-10,4	451,314
ZINC49471295	-10,4	356,276
ZINC22987586	-10,4	418,345
ZINC39781012	-10,4	354,287
ZINC93890285	-10,4	351,233
ZINC04669424	-10,4	364,279
ZINC39617181	-10,4	464,4
ZINC13678153	-10,4	466,392
ZINC30981961	-10,4	344,265
ZINC15186843	-10,4	401,338
ZINC03202479	-10,4	361,298
ZINC06510089	-10,4	330,262
ZINC41127006	-10,4	424,358
ZINC93890288	-10,4	368,27
ZINC09579824	-10,4	411,309
ZINC29045341	-10,4	402,328
ZINC15579064	-10,4	456,782
ZINC08592643	-10,4	443,778
ZINC03410180	-10,4	349,257
ZINC14727332	-10,4	397,304
ZINC89954471	-10,4	346,256
ZINC12188143	-10,4	411,356
ZINC17307839	-10,4	391,301
ZINC93890291	-10,4	330,242
ZINC58394112	-10,4	419,285
ZINC00902713	-10,4	461,418
ZINC10454791	-10,4	413,305
ZINC24983841	-10,4	403,284
ZINC11703831	-10,4	407,368
ZINC12515769	-10,4	367,301
ZINC19663758	-10,4	381,286
ZINC14084052	-10,4	392,312
ZINC21003004	-10,4	355,265
ZINC85644496	-10,4	435,314
ZINC49406364	-10,4	403,315
ZINC63272504	-10,4	446,31
ZINC19374662	-10,4	354,284
ZINC14200654	-10,4	386,308
ZINC19349580	-10,4	361,271
ZINC03373012	-10,4	457,292
ZINC12511384	-10,4	393,364
ZINC39857841	-10,4	444,34
ZINC03339622	-10,4	358,269
ZINC89866577	-10,4	371,314
ZINC09650670	-10,4	435,809
ZINC46124193	-10,4	476,432
ZINC81169210	-10,4	351,253
ZINC08618993	-10,4	416,353
ZINC09514420	-10,4	441,359
ZINC70461117	-10,4	379,138
